TYPE, CODE, NAME, START, CAPACITY, STUDENTS,

campus, 01, Main,,,350,
course, 01/2019-01-1, Event-Driven Microservices, 01/01/2019,60,,
teacher, 1324546321, P. George,,,,,
class, 01/2019-01-1+1324546321, 001, 07:30,,27,
class, 01/2019-01-1+1324546321, 002, 07:00,,27,
class, 01/2019-01-1+1324546321, 003, 08:00,,13,
class, 01/2019-01-1+1324546321, 004, 08:30,,13,
class, 01/2019-01-1+1324546321, 005, 18:00,,31,
class, 01/2019-01-1+1324546321, 006, 18:30,,31,
class, 01/2019-01-1+1324546321, 007, 19:00,,29,
class, 01/2019-01-1+1324546321, 008, 19:30,,29,
class, 01/2019-01-1+1324546321, 009, 20:00,,39,
class, 01/2019-01-1+1324546321, 010, 20:30,,39,
class, 01/2019-01-1+1324546321, 011, 21:00,,20,
class, 01/2019-01-1+1324546321, 012, 21:30,,20,

campus, 02, Westeros,,,230,
course, 01/2019-02-2, NodeJS, 01/01/2019,60,,
teacher, 1324554321, T. Camp,,,,,
class, 01/2019-02-2+1324554321, 001, 07:00,,27,
class, 01/2019-02-2+1324554321, 002, 08:00,,13,
class, 01/2019-02-2+1324554321, 003, 18:00,,46,
class, 01/2019-02-2+1324554321, 004, 19:00,,52,
class, 01/2019-02-2+1324554321, 005, 20:00,,29,
class, 01/2019-02-2+1324554321, 006, 21:00,,32,
class, 01/2019-02-2+1324554321, 007, 22:00,,28,

campus, 03, Oldtown,,,255,
course, 01/2019-03-3, SPA Libraries and Frameworks, 01/01/2019,60,,
teacher, 0987654421, H. Maria,,,,,
class, 01/2019-03-3+0987654421, 001, 07:00,,32,
class, 01/2019-03-3+0987654421, 002, 08:00,,13,
class, 01/2019-03-3+0987654421, 003, 18:00,,56,
class, 01/2019-03-3+0987654421, 004, 19:00,,53,
class, 01/2019-03-3+0987654421, 005, 21:00,,33,
class, 01/2019-03-3+0987654421, 006, 22:00,,30,

campus, 04, Riverlands,,,350,
course, 01/2019-04-4, All you need to know about Microservices, 01/01/2019,60,,
teacher, 9876512340, M. John,,,,,
class, 01/2019-04-4+9876512340, 001, 07:00,,15,
class, 01/2019-04-4+9876512340, 002, 08:00,,13,
class, 01/2019-04-4+9876512340, 003, 18:00,,52,
class, 01/2019-04-4+9876512340, 004, 19:00,,34,
class, 01/2019-04-4+9876512340, 005, 20:00,,45,
class, 01/2019-04-4+9876512340, 006, 21:00,,34,
class, 01/2019-04-4+9876512340, 007, 22:00,,40,

campus, 05, Dorne,,,150,
course, 01/2019-05-5, Why adopt Code Review?, 01/01/2019,60,,
teacher, 1324554321, T. Camp,,,,,
class, 01/2019-05-5+1324554321, 001, 19:00,,41,
class, 01/2019-05-5+1324554321, 002, 20:00,,28,
class, 01/2019-05-5+1324554321, 003, 21:00,,16,
class, 01/2019-05-5+1324554321, 004, 22:00,,6,

campus, 06, Stormlands,,,250,
course, 01/2019-06-6, Agile Method, 01/01/2019, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 01/2019-06-6+1234567890, 001, 07:00,,17,
class, 01/2019-06-6+1234567890, 002, 08:00,,13,
class, 01/2019-06-6+1234567890, 003, 18:00,,55,
class, 01/2019-06-6+1234567890, 004, 19:00,,42,
class, 01/2019-06-6+1234567890, 005, 20:00,,24,
class, 01/2019-06-6+1234567890, 006, 21:00,,14,
class, 01/2019-06-6+1234567890, 007, 22:00,,4,

campus, 01, Main,,,350,
course, 01/2019-01-9, Memory Management, 01/01/2019,60,,
teacher, 0987654321, A. Jeremiah,,,,,
class, 01/2019-01-9+0987654321, 001, 07:00,,21,
class, 01/2019-01-9+0987654321, 002, 08:00,,13,
class, 01/2019-01-9+0987654321, 003, 18:00,,44,
class, 01/2019-01-9+0987654321, 004, 19:00,,26,
class, 01/2019-01-9+0987654321, 005, 20:00,,53,
class, 01/2019-01-9+0987654321, 006, 21:00,,49,
class, 01/2019-01-9+0987654321, 007, 22:00,,31,

campus, 04, Riverlands,,,350,
course, 03/2019-04-5, Hands-On TensorFlow, 01/03/2019,60,,
teacher, 9870512340, K. Greg,,,,,
class, 03/2019-04-5+9870512340, 001, 07:00,,35,
class, 03/2019-04-5+9870512340, 002, 08:00,,13,
class, 03/2019-04-5+9870512340, 003, 18:00,,28,
class, 03/2019-04-5+9870512340, 004, 19:00,,32,
class, 03/2019-04-5+9870512340, 005, 20:00,,18,
class, 03/2019-04-5+9870512340, 006, 21:00,,21,
class, 03/2019-04-5+9870512340, 007, 22:00,,19,

campus, 03, Oldtown,,,255,
course, 03/2019-03-5, Scrum/Kanban, 01/03/2019, 60,,,
teacher, 1324554321, T. Camp,,,,,
class, 03/2019-03-5+1324554321, 001, 07:00,,42,
class, 03/2019-03-5+1324554321, 002, 08:00,,13,
class, 03/2019-03-5+1324554321, 003, 18:00,,53,
class, 03/2019-03-5+1324554321, 004, 20:00,,42,
class, 03/2019-03-5+1324554321, 005, 21:00,,62,
class, 03/2019-03-5+1324554321, 006, 22:00,,42,

campus, 01, Main,,,350,
course, 03/2019-01-7, Why adopt Code Review?, 01/03/2019,60,,
teacher, 1324554321, T. Camp,,,,,
class, 03/2019-01-7+1324554321, 001, 20:00,,55,
class, 03/2019-01-7+1324554321, 002, 21:00,,46,
class, 03/2019-01-7+1324554321, 003, 22:00,,23,

campus, 03, Oldtown,,,255,
course, 03/2019-03-6, Asynchronous Programming, 01/03/2019, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 03/2019-03-6+1234567890, 001, 19:00,,25,
class, 03/2019-03-6+1234567890, 002, 20:00,,42,
class, 03/2019-03-6+1234567890, 003, 21:00,,17,

campus, 04, Riverlands,,,350,
course, 03/2019-04-4, Engenering of High disponibility, 01/03/2019, 60,,,
teacher, 0987654421, H. Maria,,,,,
class, 03/2019-04-4+0987654421, 001, 07:00,,36,
class, 03/2019-04-4+0987654421, 002, 08:00,,13,
class, 03/2019-04-4+0987654421, 003, 18:00,,36,
class, 03/2019-04-4+0987654421, 004, 19:00,,28,
class, 03/2019-04-4+0987654421, 005, 20:00,,41,
class, 03/2019-04-4+0987654421, 006, 21:00,,25,
class, 03/2019-04-4+0987654421, 007, 22:00,,15,

campus, 06, Stormlands,,,250,
course, 03/2019-06-6, Preparation For Certification Exams, 01/03/2019,60,,
teacher, 9876512340, N. John,,,,,
class, 03/2019-06-6+9876512340, 001, 07:00,,16,
class, 03/2019-06-6+9876512340, 002, 08:00,,13,
class, 03/2019-06-6+9876512340, 003, 18:00,,18,
class, 03/2019-06-6+9876512340, 004, 19:00,,22,
class, 03/2019-06-6+9876512340, 005, 20:00,,15,
class, 03/2019-06-6+9876512340, 006, 21:00,,11,
class, 03/2019-06-6+9876512340, 007, 22:00,,13,

campus, 06, Stormlands,,,250,
course, 03/2019-06-7, Reliability Engineering, 01/03/2019,60,,
teacher, 1324546321, P. George,,,,,
class, 03/2019-06-7+1324546321, 001, 07:00,,18,
class, 03/2019-06-7+1324546321, 002, 08:00,,13,
class, 03/2019-06-7+1324546321, 003, 18:00,,55,
class, 03/2019-06-7+1324546321, 004, 19:00,,48,
class, 03/2019-06-7+1324546321, 005, 20:00,,69,
class, 03/2019-06-7+1324546321, 006, 21:00,,32,
class, 03/2019-06-7+1324546321, 007, 22:00,,16,

campus, 01, Main,,,350,
course, 03/2019-01-1, Hands-On TensorFlow, 01/03/2019,60,,
teacher, 9870512340, K. Greg,,,,,
class, 03/2019-01-1+9870512340, 001, 07:00,,27,
class, 03/2019-01-1+9870512340, 002, 08:00,,13,
class, 03/2019-01-1+9870512340, 003, 18:00,,18,
class, 03/2019-01-1+9870512340, 004, 19:00,,22,
class, 03/2019-01-1+9870512340, 005, 20:00,,15,
class, 03/2019-01-1+9870512340, 006, 21:00,,11,
class, 03/2019-01-1+9870512340, 007, 22:00,,13,

campus, 06, Stormlands,,,250,
course, 06/2019-06-6, Framework Creation, 01/06/2019,60,,
teacher, 1314554321, T. Camp,,,,,
class, 06/2019-06-6+1314554321, 001, 07:00,,27,
class, 06/2019-06-6+1314554321, 002, 08:00,,13,
class, 06/2019-06-6+1314554321, 003, 18:00,,32,
class, 06/2019-06-6+1314554321, 004, 19:00,,42,
class, 06/2019-06-6+1314554321, 005, 20:00,,42,
class, 06/2019-06-6+1314554321, 006, 22:00,,38,

campus, 03, Oldtown,,,255,
course, 06/2019-03-3, Coding in Low Level, 01/06/2019, 60,,,
teacher, 1234567890, L. Joseph,,,,,
class, 06/2019-03-3+1234567890, 004, 19:00,,45,
class, 06/2019-03-3+1234567890, 005, 20:00,,62,

campus, 04, Riverlands,,,350,
course, 06/2019-04-6, AI/Big Data DevOps Engineer, 01/06/2019,60,,
teacher, 1324554321, T. Camp,,,,,
class, 06/2019-04-6+1324554321, 001, 07:00,,27,
class, 06/2019-04-6+1324554321, 002, 08:00,,13,
class, 06/2019-04-6+1324554321, 003, 18:00,,31,
class, 06/2019-04-6+1324554321, 004, 19:00,,51,
class, 06/2019-04-6+1324554321, 005, 20:00,,51,
class, 06/2019-04-6+1324554321, 006, 22:00,,48,

campus, 03, Oldtown,,,255,
course, 06/2019-03-5, Docker Intensive,01/01/2019, 60,,,
teacher, 0987654421, H. Maria,,,,,
class, 06/2019-03-5+0987654421, 001, 07:00,,7,
class, 06/2019-03-5+0987654421, 002, 08:00,13,
class, 06/2019-03-5+0987654421, 003, 18:00,,18,
class, 06/2019-03-5+0987654421, 004, 19:00,,28,
class, 06/2019-03-5+0987654421, 005, 20:00,,35,
class, 06/2019-03-5+0987654421, 006, 21:00,,12,
class, 06/2019-03-5+0987654421, 007, 22:00,,12,

campus, 01, Main,,,350,
course, 06/2019-01-1, All you need to know about Microservices, 01/06/2019,60,,
teacher, 0987654321, A. Jeremiah,,,,,
class, 06/2019-01-1+0987654321, 001, 07:00,,8,
class, 06/2019-01-1+0987654321, 002, 08:00,13,
class, 06/2019-01-1+0987654321, 003, 18:00,,14,
class, 06/2019-01-1+0987654321, 004, 19:00,,15,
class, 06/2019-01-1+0987654321, 005, 20:00,,26,
class, 06/2019-01-1+0987654321, 006, 21:00,,16,
class, 06/2019-01-1+0987654321, 007, 22:00,,13,

campus, 04, Riverlands,,,350,
course, 06/2019-04-5, Introduce to Cloud Computing, 01/06/2019,60,,
teacher, 1324554321, T. Camp,,,,,
